,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
0,Andhra Pradesh,Bihar,Assam,A & N Islands,Chhattisgarh,Arunachal  Pradesh
1,Haryana,Karnataka,Jharkhand,Chandigarh,Manipur,Dadra & Nagar Haveli
2,Kerala,Odisha,Madhya  Pradesh,Delhi,Rajasthan,Daman & Diu
3,Lakshadweep,-,Meghalaya,Goa,-,Gujarat
4,Maharashtra,-,Mizoram,Himachal Pradesh,-,Jammu & Kashmir
5,Puducherry,-,Nagaland,-,-,Sikkim
6,Punjab,-,-,-,-,Telangana
7,Tamil  Nadu,-,-,-,-,Tripura
8,Uttar Pradesh,-,-,-,-,West Bengal
9,Uttarakhand,-,-,-,-,-
